Name,Phone Number,Website,Address,Google Maps URL,Rating,User Ratings Total,Price Level,Operating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Lisbon Kebab Station,926 209 997,http://lisbonkebabstation.pt/,"Rua da Atalaia 133, Lisboa",https://maps.google.com/?cid=6556645218093959490,4.9,161,,True,Closed,Closed,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 2:00 AM,12:00 PM – 2:00 AM,12:00 PM – 12:00 AM
100 Maneiras,910 918 181,https://100maneiras.com/restaurante/,"Rua do Teixeira 39, Lisboa",https://maps.google.com/?cid=15459050109292562269,4.4,804,4.0,True,7:00 PM – 1:00 AM,7:00 PM – 1:00 AM,7:00 PM – 1:00 AM,7:00 PM – 1:00 AM,7:00 PM – 1:00 AM,7:00 PM – 1:00 AM,7:00 PM – 1:00 AM
Bistro 100 Maneiras,910 307 575,http://www.100maneiras.com/,"Largo da Trindade 9, Lisboa",https://maps.google.com/?cid=11568751264420943461,4.4,1837,3.0,True,6:30 PM – 2:00 AM,6:30 PM – 2:00 AM,6:30 PM – 2:00 AM,6:30 PM – 2:00 AM,6:30 PM – 2:00 AM,"12:00 – 3:00 PM, 6:30 PM – 2:00 AM","12:00 – 3:00 PM, 6:30 PM – 2:00 AM"
Fumeiro de Santa Catarina,21 347 1002,https://pt-pt.facebook.com/fumeirosantacatarina?_rdr,"Travessa Alcaide 4C, Lisboa",https://maps.google.com/?cid=4951026127200818382,4.7,555,2.0,True,Closed,7:00 – 11:00 PM,7:00 – 11:00 PM,7:00 – 11:00 PM,7:00 – 11:00 PM,7:00 – 11:00 PM,Closed
Adega das Gravatas,21 714 3622,http://www.adegadasgravatas.com/,"Travessa Pregoeiro 15, Lisboa",https://maps.google.com/?cid=6654814048222151999,4.4,6595,2.0,True,Closed,"12:10 – 3:00 PM, 7:00 – 10:30 PM","12:10 – 3:00 PM, 7:00 – 10:30 PM","12:10 – 3:00 PM, 7:00 – 10:30 PM","12:10 – 3:00 PM, 7:00 – 10:30 PM","12:10 – 3:00 PM, 7:00 – 10:30 PM","12:10 – 3:00 PM, 7:00 – 10:30 PM"
Yakuza by Olivier,934 000 913,http://restaurantesyakuza.com/,"Rua Júlio César Machado 7, Lisboa",https://maps.google.com/?cid=3680408734757743414,4.6,1554,4.0,True,"12:30 – 3:00 PM, 7:30 PM – 1:00 AM","12:30 – 3:00 PM, 7:30 PM – 1:00 AM","12:30 – 3:00 PM, 7:30 PM – 1:00 AM","12:30 – 3:00 PM, 7:30 PM – 2:00 AM","12:30 – 3:00 PM, 7:30 PM – 2:00 AM",7:30 PM – 2:00 AM,7:30 PM – 1:00 AM
AronSushi,21 357 4118,,"Rua Marquês Sá da Bandeira 14B, Lisboa",https://maps.google.com/?cid=6931419407942425186,4.5,757,3.0,True,"12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM"
Floresta do Salitre,21 354 7605,,"Rua do Salitre 42D, Lisboa",https://maps.google.com/?cid=9139979565396361906,4.5,364,2.0,True,"12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM",Closed,Closed
Água Pela Barba,21 346 1376,https://www.facebook.com/aguapelabarbarestaurante/,"Rua do Almada 29/31, Lisboa",https://maps.google.com/?cid=2547996140300891125,4.5,835,2.0,True,7:30 PM – 12:30 AM,"12:30 – 3:00 PM, 6:00 PM – 12:30 AM","12:30 – 3:00 PM, 6:00 PM – 12:30 AM","12:30 – 3:00 PM, 6:00 PM – 12:30 AM","12:30 – 3:00 PM, 6:00 PM – 1:00 AM","12:30 – 3:00 PM, 6:00 PM – 1:00 AM","12:30 – 3:00 PM, 6:00 PM – 12:30 AM"
Taberna da Rua das Flores,21 347 9418,http://taberneiros.pt/,"Rua das Flores 103, Lisboa",https://maps.google.com/?cid=15955473777499375869,4.2,2071,2.0,True,12:00 – 11:30 PM,12:00 – 11:30 PM,12:00 – 11:30 PM,12:00 – 11:30 PM,12:00 – 11:30 PM,12:00 – 11:30 PM,12:00 – 4:00 PM
Sala de Corte,21 346 0030,http://www.saladecorte.pt/,"Praça Dom Luís I 7, Lisboa",https://maps.google.com/?cid=8188664677872892116,4.6,2825,3.0,True,"12:00 – 4:00 PM, 7:00 PM – 12:00 AM","12:00 – 4:00 PM, 7:00 PM – 12:00 AM","12:00 – 4:00 PM, 7:00 PM – 12:00 AM","12:00 – 4:00 PM, 7:00 PM – 12:00 AM","12:00 – 4:00 PM, 7:00 PM – 1:00 AM",12:00 PM – 1:00 AM,12:00 PM – 12:00 AM
XXL by Olivier,911 807 513,https://restaurantesolivier.com/xxl/,"Calçada da Estrela 57, Lisboa",https://maps.google.com/?cid=14533568984599427624,4.2,205,,True,"12:30 – 3:00 PM, 7:30 PM – 1:00 AM","12:30 – 3:00 PM, 7:30 PM – 1:00 AM","12:30 – 3:00 PM, 7:30 PM – 1:00 AM","12:30 – 3:00 PM, 7:30 PM – 2:00 AM","12:30 – 3:00 PM, 7:30 PM – 2:00 AM","1:00 – 3:00 PM, 7:30 PM – 2:00 AM","1:00 – 3:00 PM, 7:30 PM – 1:00 AM"
A Cevicheria,21 803 8815,https://www.acevicheria.pt/,"Rua Dom Pedro V 129, Lisboa",https://maps.google.com/?cid=249361683231044429,4.3,4283,2.0,True,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM
Santa Clara dos Cogumelos,913 043 302,http://www.santaclaradoscogumelos.com/,"Mercado de Santa Clara, Campo de Santa Clara, Lisboa",https://maps.google.com/?cid=9504499162068312291,4.7,954,2.0,True,7:30 – 11:00 PM,7:30 – 11:00 PM,7:30 – 11:00 PM,7:30 – 11:00 PM,7:30 – 11:00 PM,"1:00 – 3:30 PM, 7:30 – 11:00 PM",7:30 – 11:00 PM
Adega do Saraiva,21 929 0106,,"Rua Cidade de Tavira 3, Sintra",https://maps.google.com/?cid=13490074325765687672,4.5,889,2.0,True,Closed,12:30 – 3:30 PM,12:30 – 3:30 PM,"12:30 – 3:30 PM, 7:30 – 10:00 PM","12:30 – 3:30 PM, 7:30 – 10:00 PM","12:30 – 3:30 PM, 7:30 – 10:00 PM",12:30 – 3:30 PM
Bastardo,21 324 0993,http://www.restaurantebastardo.com/,"Rua da Betesga, Lisboa",https://maps.google.com/?cid=15141630628072534041,4.1,1232,2.0,True,7:30 AM – 11:00 PM,7:30 AM – 11:00 PM,7:30 AM – 11:00 PM,7:30 AM – 11:00 PM,7:30 AM – 11:00 PM,7:30 AM – 11:00 PM,7:30 AM – 11:00 PM
Alma,21 347 0650,http://www.almalisboa.pt/,"Rua Anchieta 15, Lisboa",https://maps.google.com/?cid=12251236553371376947,4.7,1342,4.0,True,Closed,"12:00 – 3:30 PM, 7:00 PM – 12:00 AM","12:00 – 3:30 PM, 7:00 PM – 12:00 AM","12:00 – 3:30 PM, 7:00 PM – 12:00 AM","12:00 – 3:30 PM, 7:00 PM – 12:00 AM","12:00 – 3:30 PM, 7:00 PM – 12:00 AM",Closed
Adega da Tia Matilde,21 797 2172,http://www.adegatiamatilde.pt/,"Rua da Beneficência 77, Lisboa",https://maps.google.com/?cid=18051794603539267809,4.3,1209,2.0,True,"12:00 – 4:00 PM, 7:30 PM – 12:00 AM","12:00 – 4:00 PM, 7:30 PM – 12:00 AM","12:00 – 4:00 PM, 7:30 PM – 12:00 AM","12:00 – 4:00 PM, 7:30 PM – 12:00 AM","12:00 – 4:00 PM, 7:30 PM – 12:00 AM",12:30 – 4:30 PM,Closed
Arola,21 924 9011,http://penhalonga.com/en/gastronomy/arola/,Sintra,https://maps.google.com/?cid=3415726580372091384,4.4,318,4.0,True,"12:00 – 5:00 PM, 7:00 – 10:30 PM",12:00 – 5:00 PM,12:00 – 5:00 PM,"12:00 – 5:00 PM, 7:00 – 10:30 PM","12:00 – 5:10 PM, 7:00 – 10:30 PM","12:00 – 5:00 PM, 7:00 – 10:30 PM","12:00 – 5:00 PM, 7:00 – 10:30 PM"
Atalho Real,21 346 0311,http://www.grupoatalho.pt/,"Calçada da Patriarcal 40, Lisboa",https://maps.google.com/?cid=5776786879327071964,4.5,3640,2.0,True,12:00 PM – 12:00 AM,"12:00 – 5:00 PM, 6:00 PM – 12:00 AM",12:00 PM – 12:00 AM,"12:00 – 5:00 PM, 6:00 PM – 12:00 AM",12:00 PM – 1:00 AM,"12:00 – 5:00 PM, 6:00 PM – 1:00 AM",12:00 PM – 12:00 AM
Cantinho do Avillez - Chiado,21 199 2369,https://www.cantinhodoavillez.pt/,"Rua Duques de Bragança 7, Lisboa",https://maps.google.com/?cid=3618152019697350813,4.3,2037,3.0,True,"12:30 – 3:00 PM, 6:30 PM – 12:00 AM","12:30 – 3:00 PM, 6:30 PM – 12:00 AM","12:30 – 3:00 PM, 6:30 PM – 12:00 AM","12:30 – 3:00 PM, 6:30 PM – 12:00 AM","12:30 – 3:00 PM, 6:30 PM – 12:00 AM","12:30 – 3:00 PM, 6:30 PM – 12:00 AM","12:30 – 3:00 PM, 6:30 PM – 12:00 AM"
Pateo - Bairro do Avillez,21 583 0290,https://www.bairrodoavillez.pt/,"Rua Nova da Trindade 18, Lisboa",https://maps.google.com/?cid=7341468816802144534,4.2,6276,3.0,True,"12:30 – 3:00 PM, 6:30 – 11:00 PM","12:30 – 3:00 PM, 6:30 – 11:00 PM","12:30 – 3:00 PM, 6:30 – 11:00 PM","12:30 – 3:00 PM, 6:30 – 11:00 PM","12:30 – 3:00 PM, 6:30 – 11:00 PM","12:30 – 3:00 PM, 6:30 – 11:00 PM","12:30 – 3:00 PM, 6:30 – 11:00 PM"
Belcanto,21 342 0607,https://www.belcanto.pt/,"Rua Serpa Pinto 10A, Lisboa",https://maps.google.com/?cid=9265599208299512413,4.6,1241,4.0,True,Closed,"12:30 – 3:00 PM, 7:00 PM – 12:00 AM","12:30 – 3:00 PM, 7:00 PM – 12:00 AM","12:30 – 3:00 PM, 7:00 PM – 12:00 AM","12:30 – 3:00 PM, 7:00 PM – 12:00 AM","12:30 – 3:00 PM, 7:00 PM – 12:00 AM",Closed
Bistro 100 Maneiras,910 307 575,http://www.100maneiras.com/,"Largo da Trindade 9, Lisboa",https://maps.google.com/?cid=11568751264420943461,4.4,1837,3.0,True,6:30 PM – 2:00 AM,6:30 PM – 2:00 AM,6:30 PM – 2:00 AM,6:30 PM – 2:00 AM,6:30 PM – 2:00 AM,"12:00 – 3:00 PM, 6:30 PM – 2:00 AM","12:00 – 3:00 PM, 6:30 PM – 2:00 AM"
Zé da Mouraria,21 886 5436,https://www.facebook.com/pages/Ze-da-Mouraria/506949056013831,"Rua João do Outeiro 24, Lisboa",https://maps.google.com/?cid=238283652797808841,4.4,1625,2.0,True,12:00 – 4:00 PM,12:00 – 4:00 PM,12:00 – 4:00 PM,12:00 – 4:00 PM,12:00 – 4:00 PM,12:00 – 4:00 PM,Closed
Boa-Bao,919 023 030,https://www.boabao.pt/,"Largo Rafael Bordalo Pinheiro 30, Lisboa",https://maps.google.com/?cid=5569945884650809924,4.4,5061,3.0,True,"12:00 – 3:30 PM, 6:30 – 10:30 PM","12:00 – 3:30 PM, 6:30 – 10:30 PM","12:00 – 3:30 PM, 6:30 – 10:30 PM","12:00 – 3:30 PM, 6:30 – 11:30 PM","12:00 – 3:30 PM, 6:30 – 11:30 PM",12:00 – 11:30 PM,12:00 – 10:30 PM
Boi-Cavalo,938 752 355,http://www.boi-cavalo.pt/,"Rua do Vigário 70B, Lisboa",https://maps.google.com/?cid=8382048159560683862,4.1,330,,True,Closed,Closed,8:00 PM – 1:00 AM,8:00 PM – 1:00 AM,8:00 PM – 1:00 AM,8:00 PM – 1:00 AM,8:00 PM – 1:00 AM
Casanostra,21 342 5931,http://www.casanostra.pt/,"Travessa do Poço da Cidade 60, Lisboa",https://maps.google.com/?cid=3626795686963860867,4.5,723,2.0,True,"12:30 – 2:30 PM, 7:30 – 11:00 PM","12:30 – 2:30 PM, 7:30 – 11:00 PM","12:30 – 2:30 PM, 7:30 – 11:00 PM","12:30 – 2:30 PM, 7:30 – 11:00 PM","12:30 – 2:30 PM, 7:30 – 11:00 PM",7:30 – 11:00 PM,"12:30 – 2:30 PM, 7:30 – 11:00 PM"
Butchers - Parque das Nações,936 221 553,https://www.butchers.pt/,"Rua Polo Sul 15C, Lisboa",https://maps.google.com/?cid=2607653453196095803,4.4,3214,2.0,True,"12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:30 – 3:00 PM, 7:00 – 11:00 PM","12:30 – 3:00 PM, 7:00 – 11:00 PM"
Butchers,21 314 7655,,"Rua Tomás Ribeiro 38, Lisboa",https://maps.google.com/?cid=16742623525739706788,4.5,1443,2.0,True,"12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:30 PM","12:30 – 3:30 PM, 7:00 – 11:30 PM","12:30 – 3:30 PM, 7:00 – 11:00 PM"
Café Buenos Aires,21 342 0739,http://www.cafebuenosaires.pt/,"Calçada do Duque 31B, Lisboa",https://maps.google.com/?cid=12899173272138630993,4.4,1182,3.0,True,6:00 PM – 1:00 AM,6:00 PM – 1:00 AM,6:00 PM – 1:00 AM,6:00 PM – 1:00 AM,6:00 PM – 1:00 AM,6:00 PM – 1:00 AM,Closed
Café de São Bento,913 658 343,http://www.cafesaobento.com/,"Rua de São Bento 212, Lisboa",https://maps.google.com/?cid=4593882367944781203,4.6,1115,3.0,True,"12:00 – 3:00 PM, 7:00 PM – 1:00 AM","12:00 – 3:00 PM, 7:00 PM – 1:00 AM","12:00 – 3:00 PM, 7:00 PM – 1:00 AM","12:00 – 3:00 PM, 7:00 PM – 1:00 AM","12:00 – 3:00 PM, 7:00 PM – 1:00 AM",7:00 PM – 1:00 AM,7:00 PM – 1:00 AM
Boa Esperança,21 714 2341,,"Avenida Gomes Pereira 3, Lisboa",https://maps.google.com/?cid=2823132655559473357,4.4,708,2.0,True,12:30 – 11:00 PM,12:30 – 11:00 PM,12:30 – 11:00 PM,12:30 – 11:00 PM,12:30 – 11:00 PM,12:30 – 11:00 PM,Closed
Café Príncipe Real e & Cocktail Bar,961 844 248,http://www.memmohotels.com/principereal/cafe-principe-real,"Rua Dom Pedro V, 56 J, Lisboa",https://maps.google.com/?cid=244936022953909541,4.4,284,,True,"12:30 – 3:00 PM, 7:00 – 10:00 PM","12:30 – 3:00 PM, 7:00 – 10:00 PM","12:30 – 3:00 PM, 7:00 – 10:00 PM","12:30 – 3:00 PM, 7:00 – 11:00 PM","12:30 – 3:00 PM, 7:00 – 11:00 PM","12:30 – 3:00 PM, 7:00 – 11:00 PM","12:30 – 3:00 PM, 7:00 – 10:00 PM"
Cantinho do Aziz,21 887 6472,http://www.cantinhodoaziz.com/,"Rua de São Lourenço 5, Lisboa",https://maps.google.com/?cid=10232500519360028621,4.1,3246,2.0,True,9:00 AM – 11:00 PM,9:00 AM – 11:00 PM,9:00 AM – 11:00 PM,9:00 AM – 11:00 PM,9:00 AM – 11:00 PM,9:00 AM – 11:00 PM,9:00 AM – 11:00 PM
Casa Nepalesa,21 797 9797,http://sevn.ly/xRlqo9dv,"Avenida Elias Garcia 172A, Lisboa",https://maps.google.com/?cid=7321331197244936859,4.7,2671,2.0,True,6:30 – 10:30 PM,"12:00 – 3:00 PM, 7:00 – 10:30 PM","12:00 – 3:00 PM, 7:00 – 10:30 PM","12:00 – 3:00 PM, 7:00 – 10:30 PM","12:00 – 3:00 PM, 7:00 – 10:30 PM","12:00 – 3:00 PM, 7:00 – 10:30 PM",Closed
Coelho da Rocha,21 390 0855,https://www.facebook.com/restaurantecoelhodarocha/,"Rua Coelho da Rocha 104, Lisboa",https://maps.google.com/?cid=166161001256962198,4.6,476,3.0,True,"12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM","12:00 – 3:00 PM, 7:00 – 11:00 PM",Closed
Cervejaria Liberdade,21 319 8620,https://www.tivolihotels.com/en/tivoli-avenida-liberdade-lisboa/restaurants/cervejaria-liberdade,"Avenida da Liberdade 185, Lisboa",https://maps.google.com/?cid=14548323224026801539,4.5,742,,True,12:30 – 11:30 PM,12:30 – 11:30 PM,12:30 – 11:30 PM,12:30 – 11:30 PM,12:30 – 11:30 PM,12:30 – 11:30 PM,12:30 – 11:30 PM
Casanova,21 887 7532,http://www.pizzeriacasanova.pt/,"Avenida Infante Dom Henrique Loja 7, Lisboa",https://maps.google.com/?cid=14619586523267134456,4.5,3487,2.0,True,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM
Caxemira,21 886 5486,,"Rua Antero de Quental 3, Lisboa",https://maps.google.com/?cid=4631881416120000300,4.5,560,2.0,True,"12:00 – 3:00 PM, 6:30 – 10:00 PM","12:00 – 3:00 PM, 6:30 – 10:00 PM","12:00 – 3:00 PM, 6:30 – 10:00 PM","12:00 – 3:00 PM, 6:30 – 10:00 PM","12:00 – 3:00 PM, 6:30 – 10:00 PM","12:00 – 3:00 PM, 6:30 – 10:00 PM",Closed
Caxemira,21 887 4791,,"Rua Polo Norte 16, Lisboa",https://maps.google.com/?cid=6772397654847506901,4.6,348,2.0,True,"12:00 – 3:00 PM, 6:30 – 10:00 PM","12:00 – 3:00 PM, 6:30 – 10:00 PM","12:00 – 3:00 PM, 6:30 – 10:00 PM","12:00 – 3:00 PM, 6:30 – 10:00 PM","12:00 – 3:00 PM, 6:30 – 10:00 PM","12:00 – 3:00 PM, 6:30 – 10:00 PM",Closed
"A Casa do Bacalhau (""The Codfish House"")",912 404 437,http://www.casadobacalhau.pt/,"Rua do Grilo 54, Lisboa",https://maps.google.com/?cid=14713048837982920052,4.6,3100,2.0,True,"12:00 – 3:00 PM, 7:30 – 11:00 PM","12:00 – 3:00 PM, 7:30 – 11:00 PM","12:00 – 3:00 PM, 7:30 – 11:00 PM","12:00 – 3:00 PM, 7:30 – 11:00 PM","12:00 – 3:00 PM, 7:30 – 11:00 PM","12:00 – 3:00 PM, 7:30 – 11:00 PM","12:00 – 3:00 PM, 7:30 – 11:30 PM"
Cimas,21 468 1254,,"Avenida Marginal, Estoril",https://maps.google.com/?cid=6821775625883255675,4.5,281,,True,10:30 AM – 11:00 PM,10:30 AM – 11:00 PM,10:30 AM – 11:00 PM,10:30 AM – 11:00 PM,10:30 AM – 11:00 PM,10:30 AM – 11:00 PM,Closed
Clube de Jornalistas,21 397 7138,http://restauranteclubedejornalistas.com/,"Rua das Trinas 129, Lisboa",https://maps.google.com/?cid=9320852379091282013,4.6,981,3.0,True,"12:30 – 3:00 PM, 7:00 – 11:30 PM","12:30 – 3:00 PM, 7:00 – 11:30 PM","12:30 – 3:00 PM, 7:00 – 11:30 PM",7:00 – 11:30 PM,"12:30 – 3:00 PM, 7:00 – 11:30 PM","12:30 – 3:00 PM, 7:00 – 11:30 PM","12:30 – 3:00 PM, 7:00 – 11:30 PM"
Chutnify Principe Real,21 346 1534,http://www.chutnify.com/,"Travessa da Palmeira 44, Lisboa",https://maps.google.com/?cid=7296942592508667559,4.4,673,2.0,True,Closed,6:00 – 11:00 PM,6:00 – 11:00 PM,6:00 – 11:00 PM,6:00 – 11:00 PM,6:00 – 11:00 PM,6:00 – 11:00 PM
Farol da Torre,21 301 1338,,"Rua Marcelino Mesquita 13 lj 5, Linda-a-Velha",https://maps.google.com/?cid=17111231789387224102,4.4,414,2.0,True,12:00 – 3:00 PM,"12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM",Closed
Confraria LX,21 342 6292,http://confrariasushi.pt/,"Portugal, Rua do Alecrim 12A, Lisboa",https://maps.google.com/?cid=15988326980796697710,4.4,832,3.0,True,12:00 PM – 12:30 AM,12:00 PM – 12:30 AM,12:00 PM – 12:30 AM,12:00 PM – 12:30 AM,12:00 PM – 12:30 AM,12:00 PM – 12:30 AM,12:00 PM – 12:30 AM
Cova Funda Intendente,21 885 2095,http://www.facebook.com/adegadearcos,"Travessa Cidadão João Gonçalves 20A, Lisboa",https://maps.google.com/?cid=15501185536342334262,4.5,1680,1.0,True,10:00 AM – 1:00 AM,10:00 AM – 1:00 AM,10:00 AM – 1:00 AM,10:00 AM – 1:00 AM,10:00 AM – 1:00 AM,10:00 AM – 1:00 AM,Closed
Cova Funda,21 846 0224,,"Rua António Pereira Carrilho 3B, Lisboa",https://maps.google.com/?cid=232890819179658672,4.2,124,,True,Closed,9:00 AM – 10:00 PM,9:00 AM – 10:00 PM,9:00 AM – 10:00 PM,9:00 AM – 10:00 PM,9:00 AM – 10:00 PM,9:00 AM – 4:00 PM
Cova Funda,21 814 8116,,"Rua Barão de Sabrosa 12A, Lisboa",https://maps.google.com/?cid=8390995355038657068,4.4,373,2.0,True,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 10:00 PM,Closed
Dom Feijão,21 846 4038,http://www.domfeijao.com/,"Largo Machado de Assis 7D, Lisboa",https://maps.google.com/?cid=10759329968136306245,4.5,2415,2.0,True,"12:00 – 3:30 PM, 7:00 – 10:30 PM","12:00 – 3:30 PM, 7:00 – 10:30 PM","12:00 – 3:30 PM, 7:00 – 10:30 PM","12:00 – 3:30 PM, 7:00 – 10:30 PM","12:00 – 3:30 PM, 7:00 – 10:30 PM","12:00 – 3:30 PM, 7:00 – 10:30 PM",Closed
Mar do Inferno,21 483 2218,http://www.mardoinferno.pt/,"Avenida Rei Humberto II de Itália, Cascais",https://maps.google.com/?cid=11523184810824720491,4.6,3015,3.0,True,12:30 – 10:00 PM,12:30 – 10:00 PM,Closed,12:30 – 10:00 PM,12:30 – 10:00 PM,12:30 – 10:00 PM,12:30 – 10:00 PM
Eleven,21 386 2211,http://www.restauranteleven.com/,"Rua Marquês Fronteira Jardim Amália Rodrigues, Parque Eduardo VII, Lisboa",https://maps.google.com/?cid=4442181254763546037,4.4,900,4.0,True,"12:30 – 3:00 PM, 7:30 – 10:00 PM","12:30 – 3:00 PM, 7:30 – 10:00 PM","12:30 – 3:00 PM, 7:30 – 10:00 PM","12:30 – 3:00 PM, 7:30 – 10:00 PM","12:30 – 3:00 PM, 7:30 – 10:00 PM","12:30 – 3:00 PM, 7:30 – 10:00 PM",Closed
