Restaurant,Price,Cuisine,Address,Telephone
Sancho,2,European,rua sample 117,3510000000
Solar dos Presuntos,3,Middle East,rua sample 118,3510000000
Stanislav Avenida,3,European,rua sample 119,3510000000
Taberna da Esperança,2,European,rua sample 120,3510000000
Taberna Moderna,3,Ramen,rua sample 121,3510000000
Tantura,3,Italian,rua sample 122,3510000000
Tapisco,3,Portuguese,rua sample 123,3510000000
Tasca da Esquina,2,Mushroom,rua sample 124,3510000000
Tasca Kome,3,European,rua sample 125,3510000000
Tasquinha do Lagarto,3,European,rua sample 126,3510000000
Tentações de Goa,2,European,rua sample 127,3510000000
Tomo,1,European,rua sample 128,3510000000
Último Porto,1,European,rua sample 129,3510000000
Varanda do Ritz,2,European,rua sample 130,3510000000
Zero Zero,2,Ramen,rua sample 131,3510000000
