Name,Phone Number,Website,Address,Google Maps URL,Rating,User Ratings Total,Price Level,Operating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Bunsen Phibsborough,(01) 830 0098,https://bunsen.ie/,"156 Phibsborough Road, Phibsborough, Dublin 7",https://maps.google.com/?cid=13469748840871369793,4.7,41,,True,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 9:30 PM
Banyi Japanese Dining,(01) 675 0669,https://www.banyijapanesedining.com/,"3-4 Bedford Row, Temple Bar, Dublin 2",https://maps.google.com/?cid=1414265476398143361,4.4,1499,2.0,True,12:30 – 9:00 PM,12:30 – 9:00 PM,12:30 – 9:00 PM,12:30 – 9:00 PM,12:30 – 9:30 PM,12:30 – 9:30 PM,12:30 – 9:00 PM
Terra Madre,089 244 0277,http://www.terramadre.ie/,"13A Bachelors Walk, Dublin",https://maps.google.com/?cid=2219567177270172286,4.4,741,2.0,True,5:00 – 10:00 PM,5:00 – 10:00 PM,5:00 – 9:30 PM,5:00 – 10:00 PM,"12:30 – 3:00 PM, 5:00 – 10:00 PM","12:30 – 3:00 PM, 5:00 – 10:00 PM",5:00 – 9:30 PM
Michael's,(01) 278 0377,http://www.michaels.ie/,"57 Deerpark Road, Mount Merrion Or Callary, Dublin",https://maps.google.com/?cid=2029215372278451086,4.8,724,2.0,True,Closed,5:00 – 10:00 PM,4:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 10:00 PM,1:00 – 10:00 PM
PI George's Street,,http://www.pipizzas.ie/,"Castle House, 10, 73 - 83 South Great George's Street, Dublin",https://maps.google.com/?cid=15243376053876000550,4.6,1958,2.0,True,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 9:30 PM
PI Temple Bar,,http://pipizzas.ie/,"23 Essex Street East, Temple Bar, Dublin",https://maps.google.com/?cid=6839830126462210896,4.7,109,,True,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 9:30 PM
Pi Resturant,,,"UCD O'Brien Centre for Science (Hub), Belfield, Dublin",https://maps.google.com/?cid=16877664423400549507,3.2,39,,True,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 4:00 PM,Closed,Closed
Mr Fox,(01) 874 7778,http://www.mrfox.ie/,"38 Parnell Square West, Dublin",https://maps.google.com/?cid=8981477767592965240,4.7,927,3.0,True,Closed,5:00 – 11:00 PM,5:00 – 11:00 PM,5:00 – 11:00 PM,5:00 – 11:00 PM,"12:00 – 2:00 PM, 5:00 – 11:00 PM",Closed
Fish Shop,(01) 557 1473,http://www.fish-shop.ie/,"76 Benburb Street, Dublin",https://maps.google.com/?cid=13263573076122922493,4.7,1164,2.0,True,12:30 – 9:00 PM,Closed,12:30 – 9:00 PM,12:30 – 9:00 PM,12:30 – 9:00 PM,12:30 – 9:00 PM,12:30 – 9:00 PM
Brother Hubbard (North),(01) 441 1112,http://www.brotherhubbard.ie/,"153 Capel Street, Dublin",https://maps.google.com/?cid=919810580254921373,4.4,3585,2.0,True,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:30 AM – 4:00 PM,9:30 AM – 4:00 PM
Brother Hubbard (South),(01) 441 1112,https://brotherhubbard.ie/,"46 Harrington Street, Portobello, Dublin 8",https://maps.google.com/?cid=1355000704999219407,4.4,1110,2.0,True,8:00 AM – 3:00 PM,8:00 AM – 3:00 PM,8:00 AM – 3:00 PM,8:00 AM – 3:00 PM,8:00 AM – 3:00 PM,10:00 AM – 4:00 PM,10:00 AM – 4:00 PM
Brother Hubbard Arnotts,(01) 441 1112,http://www.brotherhubbard.ie/,"Liffey Street Lower, North City, Dublin",https://maps.google.com/?cid=12076921612429451064,3.8,43,,True,10:00 AM – 6:30 PM,10:00 AM – 6:30 PM,10:00 AM – 6:30 PM,10:00 AM – 7:30 PM,10:00 AM – 6:30 PM,9:00 AM – 6:30 PM,11:00 AM – 6:30 PM
